"BehaviorSpace results (NetLogo 5.3.1)"
"Paleoscape_v4.2.nlogo"
"experiment3"
"04/12/2017 17:37:27:313 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","779","0","539"
"[run number]","walk-speed","map-zone","nragents","max_kcal_to_harvest","days_of_foresight","plots?","vision-camp","display-mode","global-knowledge?","discount_rate","daily-time-budget","nrcamps","spatial-foresight","vision-forager","camp-move-threshold","hunter-percent","forager-movement","[step]","kcal-avg","sum [times-harvested * kcal_return] of patches with [vt = 1]","sum [times-harvested * kcal_return] of patches with [vt = 2]","sum [times-harvested * kcal_return] of patches with [vt = 3]","sum [times-harvested * kcal_return] of patches with [vt = 4]","sum [times-harvested * kcal_return] of patches with [vt = 5]","sum [times-harvested * kcal_return] of patches with [vt = 6]","sum [times-harvested * kcal_return] of patches with [vt = 7]","sum [times-harvested * kcal_return] of patches with [vt = 8]","sum [times-harvested * kcal_return] of patches with [vt = 9]","sum [times-harvested * kcal_return] of patches with [vt = 10]","sum [times-harvested * kcal_return] of patches with [vt = 11]","sum [times-harvested * kcal_return] of patches with [vt >= 12]","mean [days_without] of camps / ticks","mean [days_without] of agents / ticks","timer","mean [distance min-one-of patches with [goodcoast? = true] [distance myself]] of camps"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","28","10716.876112915832","3808000","69210240","86880000","0","23806200","128221142","0","5107000","14252472","15950","983550","15739900","0.002857142857142857","0.5853035714285714","1599.371","213.9377317688395"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","29","9955.332235275382","3834000","71749480","88252800","0","24299300","132083280","0","5335800","14804244","15950","1020300","16320700","0.0028735632183908046","0.5860785440613027","1657.284","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","30","11244.363474915644","3870000","74105440","89185200","0","24687500","134779316","0","5625700","15183792","15950","1055100","16889400","0.003","0.5871111111111111","1716.254","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","31","11004.488683857782","3898000","76366280","90189600","0","25080700","136757908","0","5823900","15372396","24650","1092300","17439400","0.003064516129032258","0.5884462365591397","1776.46","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","32","10862.714807634697","3922000","78238520","91153200","0","25431500","138716060","0","5937800","15452892","24650","1128600","17990500","0.003072916666666667","0.5904409722222222","1838.211","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","33","9505.281697458107","3942000","79948360","92188800","0","25791200","140668080","0","6034500","15527304","24650","1163550","18544900","0.0031313131313131315","0.5924612794612795","1901.222","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","34","10568.525116320092","3968000","81297440","93285600","0","26081500","142223564","0","6124300","15691104","27550","1198500","19090500","0.003284313725490196","0.5949150326797387","1965.374","213.9377317688395"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","35","9713.559605017732","3984000","82640720","94113600","0","26400600","143518438","0","6218300","15801084","29000","1233900","19648200","0.0031904761904761906","0.5975968253968255","2029.164","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","36","8604.39119129912","4008000","83845960","94972800","0","26708800","144885874","0","6279700","15921360","29000","1270800","20213600","0.0032407407407407406","0.6000972222222223","2093.564","213.9377317688395"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","37","10781.341573133179","4878000","86114920","100777200","0","28776700","159683412","0","6396800","16395912","29000","1292550","20634900","0.003288288288288288","0.5976216216216216","2147.252","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","38","9718.653813893612","5050000","90057760","110128800","0","30694400","168770014","0","6602500","16862508","29000","1340400","21336700","0.003201754385964912","0.5933304093567251","2195.186","213.93773176883943"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","39","10666.590107592045","5110000","93483240","113835600","0","31403600","171124702","0","6802300","17284644","29000","1377450","21893300","0.0031623931623931626","0.5920584045584046","2248.947","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","40","10972.375419873464","5146000","96387880","115694400","0","31898700","172668944","0","7034900","19416384","29000","1413600","22449900","0.003125","0.5917638888888889","2305.484","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","41","9258.914352214048","5166000","98818080","116974800","0","32432800","176106952","0","7272800","19640088","29000","1448700","23023000","0.003048780487804878","0.5923373983739838","2364.822","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","42","11121.825435987725","5196000","101161280","118144800","0","32834900","179157622","0","7526000","20347704","29000","1485300","23591700","0.0030158730158730157","0.5929246031746032","2424.764","213.9377317688395"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","43","10366.134997226736","5228000","103453440","119126400","0","33271500","181363098","0","7736600","20541924","29000","1520700","24156000","0.00313953488372093","0.593670542635659","2485.252","213.9377317688395"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","44","9171.229837585255","5242000","105367440","120081600","0","33604700","183346800","0","7898600","20681388","31900","1559100","24718100","0.0032196969696969696","0.5949469696969697","2547.849","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","45","9524.596243020005","5258000","107062200","120978000","0","33984100","185309040","0","7996400","20736144","33350","1598250","25279100","0.003222222222222222","0.5963604938271605","2611.693","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","46","9220.678404581453","5274000","108516840","121936800","0","34280700","187126156","0","8095900","20838168","33350","1635600","25846700","0.0032971014492753623","0.5981739130434782","2676.735","213.93773176883946"
"1","2","""full""","30","3000","1","false","50","""time-replenished""","true","0.1","5.9","20","true","10","1500","0.5","""local-patch-choice""","47","9299.370964674927","5282000","109799800","122845200","0","34581400","188526296","0","8179900","20923344","33350","1670850","26389000","0.003404255319148936","0.6000070921985815","2742.528","213.93773176883946"
