"BehaviorSpace results (NetLogo 5.3.1)"
"Paleoscape_v4.2.nlogo"
"experiment1"
"04/06/2017 10:15:31:587 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","779","0","539"
,"8393.134022944654","120000","111360","718800","0","356700","7771288","0","1100","761436","0","0","0","0","0.25266666666666665","507.305","8393.134022944654","120000","111360","718800","0","356700","7771288","0","1100","761436","0","0","0","0","0.25266666666666665","54.843","8393.134022944654","120000","111360","718800","0","356700","7771288","0","1100","761436","0","0","0","0","0.25266666666666665","57.245","8393.134022944654","120000","111360","718800","0","356700","7771288","0","1100","761436","0","0","0","0","0.25266666666666665","56.417","8393.134022944654","120000","111360","718800","0","356700","7771288","0","1100","761436","0","0","0","0","0.25266666666666665","55.786"
,"7841.909590299088","210000","180960","1108800","0","450100","11926740","0","2100","1008072","0","2100","0","0","0.2488888888888889","524.152","7841.909590299088","210000","180960","1108800","0","450100","11926740","0","2100","1008072","0","2100","0","0","0.2488888888888889","70.588","7841.909590299088","210000","180960","1108800","0","450100","11926740","0","2100","1008072","0","2100","0","0","0.2488888888888889","70.417","7841.909590299088","210000","180960","1108800","0","450100","11926740","0","2100","1008072","0","2100","0","0","0.2488888888888889","69.339","7841.909590299088","210000","180960","1108800","0","450100","11926740","0","2100","1008072","0","2100","0","0","0.2488888888888889","68.832"
,"8348.867833463286","300000","250560","1482000","0","541800","16030070","0","2100","1297764","0","2550","0","0","0.245","540.446","8348.867833463286","300000","250560","1482000","0","541800","16030070","0","2100","1297764","0","2550","0","0","0.245","82.249","8348.867833463286","300000","250560","1482000","0","541800","16030070","0","2100","1297764","0","2550","0","0","0.245","83.004","8348.867833463286","300000","250560","1482000","0","541800","16030070","0","2100","1297764","0","2550","0","0","0.245","80.717","8348.867833463286","300000","250560","1482000","0","541800","16030070","0","2100","1297764","0","2550","0","0","0.245","81.527"
,"8489.592569785913","380000","320160","1825200","0","650000","19745040","0","2100","1850004","0","3600","2200","0","0.24613333333333332","585.42","8489.592569785913","380000","320160","1825200","0","650000","19745040","0","2100","1850004","0","3600","2200","0","0.24613333333333332","97.322","8489.592569785913","380000","320160","1825200","0","650000","19745040","0","2100","1850004","0","3600","2200","0","0.24613333333333332","97.965","8489.592569785913","380000","320160","1825200","0","650000","19745040","0","2100","1850004","0","3600","2200","0","0.24613333333333332","94.62","8489.592569785913","380000","320160","1825200","0","650000","19745040","0","2100","1850004","0","3600","2200","0","0.24613333333333332","96.442"
,"8253.657189815549","440000","389760","1976400","0","766400","23710400","0","6300","2436408","0","3600","5500","0","0.24511111111111109","606.496","8253.657189815549","440000","389760","1976400","0","766400","23710400","0","6300","2436408","0","3600","5500","0","0.24511111111111109","108.374","8253.657189815549","440000","389760","1976400","0","766400","23710400","0","6300","2436408","0","3600","5500","0","0.24511111111111109","111.512","8253.657189815549","440000","389760","1976400","0","766400","23710400","0","6300","2436408","0","3600","5500","0","0.24511111111111109","108.248","8253.657189815549","440000","389760","1976400","0","766400","23710400","0","6300","2436408","0","3600","5500","0","0.24511111111111109","108.816"
,"8422.825924801662","500000","459360","2178000","0","866800","27670650","0","6300","3062592","0","3600","5500","0","0.24133333333333334","633.011","8422.825924801662","500000","459360","2178000","0","866800","27670650","0","6300","3062592","0","3600","5500","0","0.24133333333333334","148.277","8422.825924801662","500000","459360","2178000","0","866800","27670650","0","6300","3062592","0","3600","5500","0","0.24133333333333334","152.801","8422.825924801662","500000","459360","2178000","0","866800","27670650","0","6300","3062592","0","3600","5500","0","0.24133333333333334","148.342","8422.825924801662","500000","459360","2178000","0","866800","27670650","0","6300","3062592","0","3600","5500","0","0.24133333333333334","151.627"
,"8809.650300191479","556000","528960","2667600","0","1055000","30648758","0","7400","3659760","2900","3750","5500","0","0.23933333333333334","683.324","8809.650300191479","556000","528960","2667600","0","1055000","30648758","0","7400","3659760","2900","3750","5500","0","0.23933333333333334","163.435","8809.650300191479","556000","528960","2667600","0","1055000","30648758","0","7400","3659760","2900","3750","5500","0","0.23933333333333334","175.641","8809.650300191479","556000","528960","2667600","0","1055000","30648758","0","7400","3659760","2900","3750","5500","0","0.23933333333333334","166.129","8809.650300191479","556000","528960","2667600","0","1055000","30648758","0","7400","3659760","2900","3750","5500","0","0.23933333333333334","172.983"
,"8857.05651118112","610000","598560","2970000","0","1317100","33439840","0","7400","4121208","2900","4500","5500","0","0.24000000000000002","709.57","8857.05651118112","610000","598560","2970000","0","1317100","33439840","0","7400","4121208","2900","4500","5500","0","0.24000000000000002","188.54","8857.05651118112","610000","598560","2970000","0","1317100","33439840","0","7400","4121208","2900","4500","5500","0","0.24000000000000002","197.506","8857.05651118112","610000","598560","2970000","0","1317100","33439840","0","7400","4121208","2900","4500","5500","0","0.24000000000000002","187.257","8857.05651118112","610000","598560","2970000","0","1317100","33439840","0","7400","4121208","2900","4500","5500","0","0.24000000000000002","192.595"
,"9297.332282248866","670000","668160","3164400","0","1625400","35805770","0","7400","4710420","2900","5700","5500","0","0.2392","753.041","9297.332282248866","670000","668160","3164400","0","1625400","35805770","0","7400","4710420","2900","5700","5500","0","0.2392","259.473","9297.332282248866","670000","668160","3164400","0","1625400","35805770","0","7400","4710420","2900","5700","5500","0","0.2392","262.398","9297.332282248866","670000","668160","3164400","0","1625400","35805770","0","7400","4710420","2900","5700","5500","0","0.2392","253.248","9297.332282248866","670000","668160","3164400","0","1625400","35805770","0","7400","4710420","2900","5700","5500","0","0.2392","262.477"
,"8740.905352023205","700000","737760","3332400","0","1850400","38690876","0","7400","5333328","102950","5700","5500","0","0.24000000000000002","794.421","8740.905352023205","700000","737760","3332400","0","1850400","38690876","0","7400","5333328","102950","5700","5500","0","0.24000000000000002","275.157","8740.905352023205","700000","737760","3332400","0","1850400","38690876","0","7400","5333328","102950","5700","5500","0","0.24000000000000002","282.168","8740.905352023205","700000","737760","3332400","0","1850400","38690876","0","7400","5333328","102950","5700","5500","0","0.24000000000000002","270.888","8740.905352023205","700000","737760","3332400","0","1850400","38690876","0","7400","5333328","102950","5700","5500","0","0.24000000000000002","278.521"
